date,time,ticker,name,fill,qty,k,prev_range,offset,krx_open,prev_close,t_open,t_prevc,bp_vs_open,bp_vs_prevc,implied_open_cap,cap_minus_krxopen_bp,cap_minus_prevc_bp,viol_open,viol_prevc,gap_bp,stub
2026-08-26,09:01:06,007660,이수페타시스,108500.0,1,0.6243,9600,7789,107100,106900,114889,114689,-556.1,-539.6,100711.0,-596.5,-579.0,1,1,18.7,0
2026-08-26,09:06:00,015760,한국전력,34150.0,3,0.7019,1800,1641,33400,32700,35041,34341,-254.3,-55.6,32509.0,-266.8,-58.4,1,1,214.1,0
2026-08-26,15:40:22,028260,삼성물산,387500.0,1,0.5216,14000,9491,372000,367000,381491,376491,157.5,292.4,378009.0,161.5,300.0,0,0,136.2,0
2026-08-27,09:00:27,017670,SK텔레콤,103200.0,1,0.5702,3600,2667,101800,99600,104467,102267,-121.3,91.2,100533.0,-124.5,93.7,1,0,220.9,0
2026-08-27,09:00:31,222800,심텍,119800.0,1,0.638,7900,6552,121800,112700,128352,119252,-666.3,46.0,113248.0,-702.1,48.6,1,0,807.5,0
2026-08-27,10:03:23,086790,하나금융지주,134100.0,1,0.5103,2700,1790,134900,133200,136690,134990,-189.5,-65.9,132310.0,-192.0,-66.8,1,1,127.6,0
2026-08-28,09:04:37,035420,NAVER,228500.0,1,0.7084,11500,10589,220000,216500,230589,227089,-90.6,62.1,217911.0,-95.0,65.2,1,0,161.7,0
2026-08-28,09:15:51,257720,실리콘투,51100.0,2,0.6004,2900,2263,49200,49150,51463,51413,-70.5,-60.9,48837.0,-73.8,-63.7,1,1,10.2,0
2026-08-31,09:09:45,003670,포스코퓨처엠,191100.0,1,0.4558,8700,5154,184700,186300,189854,191454,65.6,-18.5,185946.0,67.5,-19.0,0,1,-85.9,0
2026-09-01,09:00:36,047810,한국항공우주,138300.0,1,0.4857,8000,5050,134100,131000,139150,136050,-61.1,165.4,133250.0,-63.4,171.8,1,0,236.6,0
2026-09-01,09:03:14,010950,S-Oil,155300.0,1,0.568,4500,3322,150400,150100,153722,153422,102.7,122.4,151978.0,104.9,125.1,0,0,20.0,0
2026-09-01,09:06:36,096770,SK이노베이션,134400.0,1,0.5347,10700,7436,126900,125500,134336,132936,4.8,110.1,126964.0,5.0,116.7,0,0,111.6,0
2026-09-02,09:00:44,108490,로보티즈,247000.0,1,0.5306,18000,12416,245500,254000,257916,266416,-423.2,-728.8,234584.0,-444.6,-764.4,1,1,-334.6,0
2026-09-02,09:01:17,055550,신한지주,110800.0,1,0.5636,4000,2930,110500,111100,113430,114030,-231.9,-283.3,107870.0,-238.0,-290.7,1,1,-54.0,0
2026-09-03,09:05:03,105560,KB금융,174000.0,1,0.5918,6300,4846,171600,169100,176446,173946,-138.6,3.1,169154.0,-142.5,3.2,1,0,147.8,0
2026-09-03,09:11:23,086790,하나금융지주,137700.0,1,0.531,4200,2899,136100,134900,138999,137799,-93.5,-7.2,134801.0,-95.4,-7.3,1,1,89.0,0
2026-09-04,09:00:29,000270,기아,131200.0,1,0.4716,4600,2819,127400,127400,130219,130219,75.3,75.3,128381.0,77.0,77.0,0,0,0.0,1
2026-09-04,09:03:21,078930,GS,125100.0,1,0.5213,7500,5081,118900,118900,123981,123981,90.3,90.3,120019.0,94.1,94.1,0,0,0.0,1
